,pfx_x,pfx_z,launch_speed,release_speed,release_spin_rate,total_movement,strikeout,hbp_bb,home_run,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_ST,pitch_type_SV
48,0.8328358208955223,0.8349253731343284,81.4,78.8,1749.7462686567164,1.1792861753070014,0.027522935779816515,0.01834862385321101,0.013761467889908258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.1295833333333334,0.08569444444444445,81.9,86.0,1963.5833333333333,1.1328292213538131,0.06343283582089553,0.026119402985074626,0.007462686567164179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.9027083333333333,0.535,82.4,83.7,1991.9791666666667,1.0493366166628535,0.06077348066298342,0.03314917127071823,0.0055248618784530384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1.0460606060606061,0.2639393939393939,81.0,85.4,1736.060606060606,1.0788451210553707,0.03015075376884422,0.020100502512562814,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.751304347826087,0.5220289855072464,80.4,77.5,1511.3333333333333,0.9148620031305851,0.09166666666666666,0.020833333333333332,0.004166666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.0214705882352941,0.8120588235294117,84.4,90.1,1666.0588235294117,1.3049297665015271,0.02197802197802198,0.02197802197802198,0.01098901098901099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1.105897435897436,0.46871794871794875,82.8,83.2,1496.4358974358975,1.2011268268483912,0.0,0.006329113924050633,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1.0025773195876289,0.9296907216494846,86.3,83.9,1700.1443298969073,1.3672915269512402,0.043795620437956206,0.032846715328467155,0.029197080291970802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1.3691666666666666,0.5458333333333333,83.4,88.0,1692.5833333333333,1.4739577296818551,0.052083333333333336,0.0,0.03125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.02525,0.993,81.4,86.9,1837.475,1.4273004457716671,0.11290322580645161,0.005376344086021506,0.010752688172043012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1.134695652173913,0.050521739130434784,82.4,84.0,1537.8695652173913,1.1358198225014149,0.07289293849658314,0.015945330296127564,0.004555808656036446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1.072,0.4765,85.9,87.6,1540.175,1.1731309602938627,0.07586206896551724,0.020689655172413793,0.006896551724137931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.8262385321100918,0.0068807339449541306,81.6,88.1,1481.48623853211,0.8262671822377193,0.10615711252653928,0.008492569002123142,0.0021231422505307855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1.0983,0.6668999999999999,82.7,83.5,1472.53,1.2849196472931683,0.05740181268882175,0.02416918429003021,0.00906344410876133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1.4007853403141362,0.2839267015706806,80.8,86.4,1921.6020942408377,1.4292704228045148,0.14204545454545456,0.01278409090909091,0.007102272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1.4675,0.5853125,80.4,87.6,2087.953125,1.5799199260267116,0.04245283018867924,0.02830188679245283,0.0047169811320754715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.9471875,0.788125,83.7,85.9,1596.5,1.2321952669042557,0.06593406593406594,0.02197802197802198,0.01098901098901099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.9080487804878048,0.8260975609756097,80.6,86.5,1671.121951219512,1.2275951156612024,0.06451612903225806,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1.356,0.34400000000000003,82.7,86.8,1919.1666666666667,1.398953894880028,0.07777777777777778,0.0,0.022222222222222223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.8530666666666668,0.9776000000000001,80.3,83.0,1466.2933333333333,1.2974684958710088,0.03125,0.015625,0.00390625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1.57010101010101,0.1598989898989899,78.0,71.0,2183.40404040404,1.5782220594361647,0.0625,0.002717391304347826,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1.134126984126984,0.6823015873015873,81.6,87.6,1499.7380952380952,1.3235480618999953,0.037037037037037035,0.023965141612200435,0.006535947712418301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.9670476190476192,1.3805714285714286,78.3,78.3,2043.5142857142857,1.6855736610701486,0.037900874635568516,0.02040816326530612,0.014577259475218658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1.1702564102564104,1.0123076923076921,83.9,87.9,1675.8974358974358,1.5473418916488835,0.03289473684210526,0.019736842105263157,0.006578947368421052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1.0738709677419354,0.4693548387096774,82.1,86.8,1980.1290322580646,1.1719611000281485,0.16783216783216784,0.055944055944055944,0.006993006993006993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1.119186046511628,0.6302325581395349,81.2,80.8,1658.406976744186,1.284433915795371,0.029411764705882353,0.008403361344537815,0.029411764705882353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1.4078181818181819,0.8054545454545454,84.6,85.7,2046.0545454545454,1.6219460711907903,0.12440191387559808,0.014354066985645933,0.004784688995215311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.7840322580645162,0.3764516129032258,81.9,84.9,1306.274193548387,0.8697254730908968,0.10970464135021098,0.02531645569620253,0.004219409282700422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.8770731707317073,0.3385365853658537,83.1,80.9,1433.7073170731708,0.9401406099347812,0.12345679012345678,0.012345679012345678,0.012345679012345678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1.2558823529411764,0.6861764705882354,83.3,80.5,1761.2941176470588,1.4311109786518978,0.0916030534351145,0.015267175572519083,0.007633587786259542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1.1094871794871797,0.9874358974358974,80.8,84.1,1903.871794871795,1.485258042560771,0.04794520547945205,0.00684931506849315,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1.3682758620689655,0.5806896551724138,80.0,86.8,1948.2068965517242,1.4863980995496555,0.05952380952380952,0.023809523809523808,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1.0547368421052632,0.7963157894736842,74.9,85.8,1954.4736842105262,1.3215856546812543,0.056338028169014086,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1.2941333333333334,0.2516,79.0,83.0,1569.4133333333334,1.3183640030145105,0.08013937282229965,0.017421602787456445,0.006968641114982578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1.1624242424242424,0.7427272727272728,79.0,85.0,1910.8181818181818,1.3794469620208187,0.0392156862745098,0.058823529411764705,0.00980392156862745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1.2374666666666667,0.9316000000000001,80.5,83.6,2407.9,1.5489358641051318,0.050100200400801605,0.018036072144288578,0.01002004008016032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0.9378260869565217,0.11347826086956521,93.4,83.3,1432.7391304347825,0.9446666528814079,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
